partita,match,squadra,titolare,riserva,ingresso riserva,titolo,lunghezza,penalità,tag,link,link commento,commento valido,sostituzione,punti penalità,giocatore,str penalità
Q1,1,D Euforiche,Kuno,Marcello,,Il meglio che sa fare un pesce,7733,0,x,x,x,x,,,Kuno ,
Q1,1,Gli scrittori del quartierino,camparino,Federico72,,Il negozio di acquari,3216,0,x,x,x,x,,,camparino ,
Q1,2,D Euforiche,queffe,Marcello,,Il presente di Brando,6695,0,x,x,x,x,,,queffe ,
Q1,2,Gli scrittori del quartierino,Marty12,Federico72,,Pensavo fosse amore e invece era un dugongo,6895,0,x,x,x,x,,,Marty12 ,
Q2,1,I Bananari,Niko,massimopud,,"Non c’è nessun vetro, tra noi",7999,0,x,x,x,x,,,Niko ,
Q2,1,Le TreMende,sefora,Thea,,Le sette dell’acquario,7694,0,x,x,x,x,,,sefora ,
Q2,2,I Bananari,simone volponi,massimopud,,WaterEnd,7995,0,x,x,x,x,,,simone volponi ,
Q2,2,Le TreMende,Emy,Thea,,Una festa a sorpresa,7597,0,x,x,x,x,,,Emy ,
Q3,1,Green House,Plata,Bango Skank,,L'acquario vuoto,6495,0,x,x,x,x,,,Plata ,
Q3,1,Living Stones,Ljuset,Macleo,,Elenoir,7995,0,x,x,x,x,,,Ljuset ,
Q3,2,Green House,Joyopi,Bango Skank,,Quanta magia,6596,0,x,x,x,x,,,Joyopi ,
Q3,2,Living Stones,Vincenzo Iennaco,Macleo,,Looking through the window,5881,0,x,x,x,x,,,Vincenzo Iennaco ,
Q4,1,Armata Brancaleone,Ella F.,Skorpiòs,,Pesci in un acquario,4304,0,x,x,x,x,,,Ella F. ,
Q4,1,Gli ultimi,Ghigo,crazycat,,Quel giorno in cui mio padre comprò l’acquario,7902,0,x,x,x,x,,,Ghigo ,
Q4,2,Armata Brancaleone,AdStr,Skorpiòs,,Sgradevole,6703,0,x,x,x,x,,,AdStr ,
Q4,2,Gli ultimi,caipiroska,crazycat,,Cuore di mamma,6173,0,x,x,x,x,,,caipiroska ,
