girone,squadra,punti,vittorie,pareggi,sconfitte,differenza reti,goal fatti,goal subiti,differenza reti netta,goal netti fatti,goal netti subiti,penalità fatte,penalità subite,differenza reti ultimo incontro,goal fatti ultimo incontro,goal subiti ultimo incontro,piazzamento
A,D Euforiche,6,2,0,0,26,45,19,26,45,19,0,0,0,0,0,1
A,Gli ultimi,3,1,0,1,5,34,29,4,34,30,0,-1,21,26,5,2
A,La threesome,0,0,0,2,-31,16,47,-30,17,47,-1,0,-21,5,26,3
B,I Bananari,7,2,1,0,6,45,39,6,45,39,0,0,0,14,14,1
B,Green House,6,2,0,1,32,58,26,32,58,26,0,0,22,25,3,2
B,Gli scrittori del quartierino,4,1,1,1,-10,37,47,-10,37,47,0,0,0,14,14,3
B,the 3 BrOthers,0,0,0,3,-28,28,56,-28,28,56,0,0,-22,3,25,4
C,Armata Brancaleone,6,2,0,1,-1,41,42,-2,41,43,0,-1,-16,6,22,1
C,Living Stones,4,1,1,1,2,43,41,2,43,41,0,0,16,22,6,2
C,Le TreMende,4,1,1,1,-2,41,43,-2,41,43,0,0,6,17,11,3
C,Retroguardia Trash,3,1,0,2,1,42,41,2,43,41,-1,0,-6,11,17,4
