utente,totale,num_gare,media,rank 0
AlexComan,0.0,1.0,0.0,1450
Andrea28,10.0,5.0,2.0,1495
AryaSophia,0.0,2.0,0.0,1450
Bango Skank,21.5,12.0,1.7916666666666667,1489
Befana Profana,3.33,1.0,3.33,1527
Cicciuzza,1.0,1.0,1.0,1460
Crazycat,1.0,2.0,0.5,1450
Cristina,7.33,5.0,1.466,1478
Doria,0.0,3.0,0.0,1450
Edison,6.66,2.0,3.33,1527
Elisabeta Gavrilina,0.0,1.0,0.0,1450
Emy,4.0,19.0,0.21052631578947367,1450
Eudes,2.0,1.0,2.0,1495
Federico72,0.0,10.0,0.0,1450
Ghigo,5.0,4.0,1.25,1470
Ginevra,5.5,7.0,0.7857142857142857,1450
ITG,1.0,1.0,1.0,1460
Intro,0.5,2.0,0.25,1450
JMC,3.0,1.0,3.0,1520
Joyopi,7.0,15.0,0.4666666666666667,1450
Komorebi,4.0,8.0,0.5,1450
Kuno,5.5,3.0,1.8333333333333333,1490
Lizz,8.0,11.0,0.7272727272727273,1450
Lo scrittore incolore,2.5,9.0,0.2777777777777778,1450
Luna,0.0,3.0,0.0,1450
M.T.,0.66,16.0,0.04125,1450
Macleo,30.33,19.0,1.5963157894736841,1483
Marcello,10.0,5.0,2.0,1495
Marty12,0.33,4.0,0.0825,1450
Mundi Viator,1.5,1.0,1.5,1479
Nanni,3.0,3.0,1.0,1460
Nerio,5.0,2.0,2.5,1509
Nuwanda,0.0,2.0,0.0,1450
Ortho,0.0,1.0,0.0,1450
Plata,6.0,11.0,0.5454545454545454,1450
Poldo,2.0,5.0,0.4,1450
Ponghetta84,0.0,1.0,0.0,1450
Pulsar,0.0,2.0,0.0,1450
Rewind,2.5,1.0,2.5,1509
Rica,19.0,15.0,1.2666666666666666,1471
Riddle Seeker,0.5,5.0,0.1,1450
Terracielo,0.0,1.0,0.0,1450
Thea,0.5,5.0,0.1,1450
Unius,14.66,11.0,1.3327272727272728,1473
Vincenzo Iennaco,9.33,18.0,0.5183333333333333,1450
acronimo4,0.0,2.0,0.0,1450
camparino,1.0,10.0,0.1,1450
libero_s,0.5,1.0,0.5,1450
massimopud,5.0,2.0,2.5,1509
mina99,5.83,7.0,0.8328571428571429,1452
queffe,5.0,1.0,5.0,1555
sefora,0.0,1.0,0.0,1450
serena.jandra,0.0,1.0,0.0,1450
simone volponi,12.0,19.0,0.631578947368421,1450
sioux,0.0,3.0,0.0,1450
swetty,3.5,3.0,1.1666666666666667,1467
wyjkz31,4.0,1.0,4.0,1540
