squadra,avversario,girone,goal fatti,goal subiti,elo precedente,elo avversario,punteggio atteso,punteggio reale,scostamento squadra
D Euforiche,Gli ultimi,A,24,8,1511.6666666666667,1500.0,0.5167833752790509,0.75,0.23321662472094906
Green House,Gli scrittori del quartierino,B,21,7,1494.6666666666667,1505.0,0.4851335211637576,0.75,0.2648664788362424
I Bananari,the 3 BrOthers,B,15,13,1505.3333333333333,1495.0,0.5148664788362424,0.5357142857142857,0.02084780687804333
Living Stones,Le TreMende,C,14,14,1481.6666666666667,1489.6666666666667,0.4884891087822083,0.5,0.011510891217791697
Retroguardia Trash,Armata Brancaleone,C,10,17,1518.3333333333333,1510.3333333333333,0.5115108912177917,0.37037037037037035,-0.14114052084742135
Gli ultimi,D Euforiche,A,8,24,1500.0,1511.6666666666667,0.4832166247209491,0.25,-0.23321662472094912
Gli scrittori del quartierino,Green House,B,7,21,1505.0,1494.6666666666667,0.5148664788362424,0.25,-0.26486647883624237
the 3 BrOthers,I Bananari,B,13,15,1495.0,1505.3333333333333,0.4851335211637576,0.4642857142857143,-0.020847806878043273
Le TreMende,Living Stones,C,14,14,1489.6666666666667,1481.6666666666667,0.5115108912177917,0.5,-0.011510891217791697
Armata Brancaleone,Retroguardia Trash,C,17,10,1510.3333333333333,1518.3333333333333,0.4884891087822083,0.6296296296296297,0.14114052084742135
La threesome,-,A,0,0,1488.3333333333333,1488.3333333333333,0.5,0.5,0.0
