girone,partita,squadra,capitano,riserva,match 1,match 2,match 1 goal,match 1 riserva,match 2 goal,match 2 riserva,goal,penalità
A,1,D Euforiche,Kuno,Marcello,Kuno,queffe,15,False,9,False,24,0
A,1,Gli ultimi,crazycat,Ghigo,caipiroska,crazycat,1,False,7,False,8,0
B,1,Green House,Bango Skank,Bango Skank,Plata,Joyopi,7,False,14,False,21,0
B,1,Gli scrittori del quartierino,Marty12,Federico72,camparino,Marty12,7,False,0,False,7,0
B,2,I Bananari,simone volponi,massimopud,simone volponi,Niko,1,False,14,False,15,0
B,2,the 3 BrOthers,AryaSophia,ettore70,ITG,AryaSophia,13,False,0,False,13,0
C,1,Living Stones,Macleo,Vincenzo Iennaco,Ljuset,Macleo,8,False,6,False,14,0
C,1,Le TreMende,Emy,sefora,Thea,Emy,6,False,8,False,14,0
C,2,Retroguardia Trash,Andrea28,AlexComan,Andrea28,Eudes,1,False,9,False,10,-1
C,2,Armata Brancaleone,AdStr,Skorpiòs,Ella F.,AdStr,12,False,5,False,17,0
