squadra,giocatore,mi2017,fdi2017_1,fdi2017_2,fdi2017_3,mi100_1,mi100_2,mi100_3,mi100_4,totale
Green House,Bango Skank,16.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.5
Green House,Joyopi,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
Green House,Plata,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0
La threesome,Komorebi,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
La threesome,Luna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La threesome,mina99,3.33,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.83
I Bananari,Niko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Bananari,simone volponi,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0
I Bananari,massimopud,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
Armata Brancaleone,Ella F.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armata Brancaleone,AdStr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armata Brancaleone,Skorpiòs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Living Stones,Macleo,18.33,4.0,0.5,0.0,5.0,1.0,0.0,1.5,30.33
Living Stones,Vincenzo Iennaco,4.33,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.33
Living Stones,Ljuset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retroguardia Trash,Eudes,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Retroguardia Trash,AlexComan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retroguardia Trash,Andrea28,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Le TreMende,Emy,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Le TreMende,sefora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Le TreMende,Thea,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Gli scrittori del quartierino,camparino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gli scrittori del quartierino,Federico72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gli scrittori del quartierino,Marty12,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
the 3 BrOthers,AryaSophia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the 3 BrOthers,ettore70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the 3 BrOthers,ITG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
D Euforiche,queffe,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
D Euforiche,Marcello,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
D Euforiche,Kuno,5.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.5
